Analysis for Result

ACCURACY REPORT:
Overall accuracy:                        0.80655738
Accuracy within 1 phone:                 0.96065574
Accuracy within 2 phones:                0.97704918
Average edit distance from gold:         0.06865860
Average feature edit distance from gold: 0.04363178

Performance associated with each phone in Result
Phone in Result	Associated final miss likelihood	Mean Associated Normalized Lev.Dist.	Mean Associated Feat Edit Dist
m	|	0.14285714285714285	|	0.16666666666666666	|	0.027930402930402925
ˈi	|	0.21739130434782608	|	0.30434782608695654	|	0.05434782608695652
l	|	0.1956521739130435	|	0.2391304347826087	|	0.03010033444816054
f	|	0.22857142857142856	|	0.22857142857142856	|	0.017032967032967035
ˈĩ	|	0.46153846153846156	|	1.0769230769230769	|	0.23964497041420116
n̪	|	0.14285714285714285	|	0.2777777777777778	|	0.06217948717948715
ˌe	|	0.42857142857142855	|	0.7142857142857143	|	0.1620879120879121
p	|	0.19607843137254902	|	0.2549019607843137	|	0.03582202111613876
ə	|	0.15384615384615385	|	0.23931623931623933	|	0.05276134122287967
ɲ	|	0.13333333333333333	|	0.3333333333333333	|	0.04743589743589744
sʲ	|	1.0	|	1.3043478260869565	|	0.1513377926421406
v	|	0.12	|	0.125	|	0.022435897435897436
ˌi	|	0.5	|	0.5	|	0.038461538461538464
ˈɛ̃	|	0.07692307692307693	|	0.07692307692307693	|	0.00591715976331361
j̃	|	0.17647058823529413	|	0.47058823529411764	|	0.09841628959276018
ˈɛ	|	0.3	|	0.3333333333333333	|	0.05128205128205129
r	|	0.1895424836601307	|	0.22962962962962963	|	0.03333333333333334
ˌĩ	|	0.25	|	1.0	|	0.3076923076923077
ŋ	|	0.3333333333333333	|	1.3333333333333333	|	0.4102564102564103
k	|	0.29411764705882354	|	0.5882352941176471	|	0.11085972850678735
w	|	0.25	|	0.41025641025641024	|	0.08826429980276136
ɛ	|	1.0	|	4.0	|	1.2307692307692308
t̪	|	0.1	|	0.1388888888888889	|	0.023504273504273504
ˈe	|	0.1935483870967742	|	0.24193548387096775	|	0.03566997518610422
j	|	0.27906976744186046	|	0.4186046511627907	|	0.09212880143112703
z	|	0.0	|	0.0	|	0.0
ˈũ	|	0.045454545454545456	|	0.045454545454545456	|	0.0034965034965034965
d̪	|	0.11538461538461539	|	0.08	|	0.026153846153846153
ˈã	|	0.05555555555555555	|	0.05555555555555555	|	0.004273504273504274
ˈøː	|	1.0	|	1.0	|	0.038461538461538464
s	|	0.2222222222222222	|	0.28846153846153844	|	0.03328402366863907
ˈa	|	0.20588235294117646	|	0.35294117647058826	|	0.081447963800905
ˌɛ	|	0.4	|	0.45	|	0.06346153846153844
zʲ	|	1.0	|	1.0	|	0.07692307692307693
ˌa	|	0.13333333333333333	|	0.13333333333333333	|	0.007692307692307693
ʎ	|	0.15384615384615385	|	0.15384615384615385	|	0.00591715976331361
ˌã	|	0.0	|	0.0	|	0.0
b	|	0.18181818181818182	|	0.19047619047619047	|	0.01098901098901099
e̯	|	0.0	|	0.0	|	0.0
ˈẽ	|	0.125	|	0.375	|	0.13942307692307693
ˈø	|	0.17647058823529413	|	0.17647058823529413	|	0.029411764705882353
ˌɛ̃	|	0.5	|	1.75	|	0.39903846153846156
ˈiː	|	0.6666666666666666	|	0.6666666666666666	|	0.025641025641025644
ˌə	|	0.1	|	0.1	|	0.01346153846153846
ɡ	|	0.0	|	0.0	|	0.0
ˌø	|	0.0	|	0.0	|	0.0
ˈy	|	0.0	|	0.0	|	0.0
ʒ	|	0.14285714285714285	|	0.42857142857142855	|	0.16071428571428573
ˈaː	|	0.5	|	0.5	|	0.019230769230769232
ʃ	|	0.07142857142857142	|	0.21428571428571427	|	0.0673076923076923
ˌũ	|	0.0	|	0.0	|	0.0
ˈɛː	|	0.3333333333333333	|	0.3333333333333333	|	0.012820512820512822
ˌaː	|	0.0	|	0.0	|	0.0
t̪ʲ	|	1.0	|	1.6666666666666667	|	0.3846153846153846
ˈɔ	|	0.15384615384615385	|	0.15384615384615385	|	0.01183431952662722
ˈoː	|	0.0	|	0.0	|	0.0
ˈuː	|	0.3333333333333333	|	0.3333333333333333	|	0.012820512820512822
ɥ	|	0.3333333333333333	|	0.3333333333333333	|	0.025641025641025644
ˌu	|	0.1	|	0.1	|	0.0038461538461538464
ˈu	|	0.0625	|	0.0625	|	0.002403846153846154
ˌỹ	|	0.0	|	0.0	|	0.0
ˈyː	|	1.0	|	1.0	|	0.038461538461538464
ˌy	|	0.3333333333333333	|	0.3333333333333333	|	0.025641025641025644
ˌɔ	|	0.0	|	0.0	|	0.0
ˌɛ̃ː	|	1.0	|	1.0	|	0.11538461538461539
ˈeː	|	1.0	|	1.0	|	0.038461538461538464
ˈỹ	|	0.0	|	0.0	|	0.0
