etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
13     | #ˈillɑm# | *#ˈellɑ# {GOLD: #ˈellɑ#} | *#ˈellɑ# | *#ˈella# | *#ˈella# | *#ˈelə# {GOLD: #ˈelə#} | *#ˈɛlə# {GOLD: #ˈɛlə#} | *#ˈɛlə# {GOLD: #ˈɛlə#} | *#ɛl# {GOLD: #ɛl#}
14     | #d̪ˈeːbit̪ɑm# | *#d̪ˈeβet̪ɑ# {GOLD: #d̪ˈeβet̪ɑ#} | *#d̪ˈeɸt̪ɑ# | *#d̪ˈeɸt̪a# | *#d̪ˈet̪t̪a# | *#d̪ˈet̪ə# {GOLD: #d̪ˈet̪ə#} | *#d̪ˈɛt̪ə# {GOLD: #d̪ˈɛt̪ə#} | *#d̪ˈɛt̪ə# {GOLD: #d̪ˈɛt̪ə#} | *#d̪ɛt̪# {GOLD: #d̪ɛt̪#}
15     | #fˈin̪d̪ere# | *#fˈen̪d̪ɛrɛ# {GOLD: #fˈen̪d̪ɛrɛ#} | *#fˈen̪d̪ɛrɛ# | *#fˈen̪d̪rɛ# | *#fˈen̪d̪rə# | *#fˈẽn̪d̪rə# {GOLD: #fˈẽn̪d̪rə#} | *#fˈãn̪d̪rə# {GOLD: #fˈãn̪d̪rə#} | *#fˈãːd̪rə# {GOLD: #fˈãːd̪rə#} | *#fɑ̃d̪ʁ# {GOLD: #fɑ̃d̪ʁ#}
16     | #prˌehˈen̪d̪ere# | *#prˈen̪d̪ɛrɛ# {GOLD: #prˈen̪d̪ɛrɛ#} | *#prˈen̪d̪ɛrɛ# | *#prˈen̪d̪rɛ# | *#prˈen̪d̪rə# | *#prˈẽn̪d̪rə# {GOLD: #prˈẽn̪d̪rə#} | *#prˈãn̪d̪rə# {GOLD: #prˈãn̪d̪rə#} | *#prˈãːd̪rə# {GOLD: #prˈãːd̪rə#} | *#pʁɑ̃d̪ʁ# {GOLD: #pʁɑ̃d̪ʁ#}
17     | #fˈeːmin̪ɑm# | *#fˈemen̪ɑ# {GOLD: #fˈemen̪ɑ#} | *#fˈemn̪ɑ# | *#fˈemma# | *#fˈemma# | *#fˈẽmə# {GOLD: #fˈẽmə#} | *#fˈãmə# {GOLD: #fˈãmə#} | *#fˈãmə# {GOLD: #fˈãmə#} | *#fam# {GOLD: #fam#}
18     | #ˈilloːs# | *#ˈellos# {GOLD: #ˈellos#} | *#ˈellos# | *#ˈellos# | *#ˈells# | *#ˈeɫs# {GOLD: #ˈeɫs#} | *#ˈøːs# {GOLD: #ˈøs#} | *#ˈøːs# {GOLD: #ˈøs#} | *#ø# {GOLD: #ø#}
19     | #fˈid̪em# | *#fˈed̪ɛ# {GOLD: #fˈed̪ɛ#} | *#fˈeːðɛ# | *#fˈeːðɛ# | *#fˈejð# | *#fˈejθ# {GOLD: #fˈejθ#} | *#fwˈɛ# {GOLD: #fwˈɛ#} | *#fwˈɛ# {GOLD: #fwˈɛ#} | *#fwa# {GOLD: #fwɑ#}
20     | #krˈeːt̪ɑm# | *#krˈet̪ɑ# {GOLD: #krˈet̪ɑ#} | *#krˈeːt̪ɑ# | *#krˈeːt̪a# | *#krˈejða# | *#krˈejðə# {GOLD: #krˈejðə#} | *#krˈajə# {GOLD: #krwˈɛə#} | *#krˈɛː# {GOLD: #krˈɛː#} | *#kʁɛ# {GOLD: #kʁɛ#}
21     | #plˈeːn̪um# | *#plˈen̪o# {GOLD: #plˈen̪o#} | *#plˈeːn̪o# | *#plˈeːn̪o# | *#plˈejn̪# | *#plˈẽj̃n̪# {GOLD: #plˈẽj̃n̪#} | *#plˈɛ̃j̃n̪# {GOLD: #plˈɛ̃j̃n̪#} | *#plˈɛ̃ː# {GOLD: #plˈɛ̃ː#} | *#plɛ̃# {GOLD: #plɛ̃#}
22     | #plˈeːn̪ɑm# | *#plˈen̪ɑ# {GOLD: #plˈen̪ɑ#} | *#plˈeːn̪ɑ# | *#plˈeːn̪a# | *#plˈejn̪a# | *#plˈẽj̃n̪ə# {GOLD: #plˈẽj̃n̪ə#} | *#plˈɛ̃j̃n̪ə# {GOLD: #plˈɛ̃j̃n̪ə#} | *#plˈɛ̃n̪ə# {GOLD: #plˈɛ̃n̪ə#} | *#plɛn̪# {GOLD: #plɛn̪#}
