etID  | Input | Late Latin {GOLD} | Early Gallo-Roman | Middle Gallo-Roman | Later Gallo-Roman | Old French I {GOLD} | Old French II {GOLD} | Middle French {GOLD} | Output {GOLD}
55     | #mˌin̪ˈɑːri# | *#mˌen̪ˈɑre# {GOLD: #mˌen̪ˈɑre#} | *#mˌen̪ˈɑːre# | *#mˌen̪ˈaːre# | *#mˌen̪ˈae̯r# | *#mˌən̪ˈeːr# {GOLD: #mˌən̪ˈeːr#} | *#mˌən̪ˈer# {GOLD: #mˌən̪ˈer#} | *#mˌən̪ˈer# {GOLD: #mˌən̪ˈer#} | *#mən̪e# {GOLD: #mən̪e#}
56     | #fˌimˈɑːrium# | *#fˌemˈɑrʝo# {GOLD: #fˌemˈɑrʝo#} | *#fˌemˈɑrʝo# | *#fˌemˈaːrʲo# | *#fˌemˈie̯r# | *#fˌəmˈie̯r# {GOLD: #fˌəmˈie̯r#} | *#fˌəmjˈer# {GOLD: #fˌəmjˈer#} | *#fˌømjˈer# {GOLD: #fˌymjˈer#} | *#fymje# {GOLD: #fymje#}
57     | #fˌilt̪rˈɑːre# | *#fˌeɫt̪rˈɑrɛ# {GOLD: #fˌeɫt̪rˈɑrɛ#} | *#fˌeɫt̪rˈɑːrɛ# | *#fˌeɫt̪rˈaːrɛ# | *#fˌeɫt̪rˈae̯r# | *#fˌeɫt̪rˈeːr# {GOLD: #fˌeɫt̪rˈeːr#} | *#fˌøt̪rˈer# {GOLD: #fˌøt̪rˈer#} | *#fˌøt̪rˈer# {GOLD: #fˌøt̪rˈer#} | *#føt̪ʁe# {GOLD: #føt̪ʁe#}
58     | #bˌellit̪ˈɑːt̪em# | *#bˌɛllet̪ˈɑt̪ɛ# {GOLD: #bˌɛllet̪ˈɑt̪ɛ#} | *#bˌɛllet̪ˈɑːt̪ɛ# | *#bˌɛllt̪ˈaːt̪ɛ# | *#bˌɛllt̪ˈae̯t̪# | *#bˌɛɫt̪ˈeːθ# {GOLD: #bˌɛɫt̪ˈeːθ#} | *#be̯ˌawt̪ˈe# {GOLD: #be̯ˌawt̪ˈe#} | *#bə̯ˌoːt̪ˈe# {GOLD: #bə̯ˌoːt̪ˈe#} | *#bot̪e# {GOLD: #bot̪e#}
59     | #sˌen̪iˈoːrem# | *#sˌɛn̪ʝˈorɛ# {GOLD: #sˌɛn̪ʝˈorɛ#} | *#sˌɛɲˈoːrɛ# | *#sˌɛɲˈoːrɛ# | *#sˌeɲˈowr# | *#sˌẽj̃ɲˈowr# {GOLD: #sˌẽj̃ɲˈowr#} | *#sˌɛ̃j̃ɲˈør# {GOLD: #sˌɛ̃j̃ɲˈør#} | *#sˌɛ̃ɲˈør# {GOLD: #sˌɛ̃ɲˈør#} | *#sɛɲœʁ# {GOLD: #sɛɲœʁ#}
60     | #pˌin̪kt̪ˈuːrɑm# | *#pˌeŋt̪ˈurɑ# {GOLD: #pˌeŋt̪ˈurɑ#} | *#pˌeŋt̪ˈuːrɑ# | *#pˌeɲt̪ʲˈʉːra# | *#pˌeɲt̪ˈʉːra# | *#pˌẽj̃n̪t̪ˈyrə# {GOLD: #pˌẽj̃n̪t̪ˈyrə#} | *#pˌɛ̃j̃n̪t̪ˈyrə# {GOLD: #pˌɛ̃j̃n̪t̪ˈyrə#} | *#pˌɛ̃ːt̪ˈyrə# {GOLD: #pˌɛ̃ːt̪ˈyrə#} | *#pɛ̃t̪yʁ# {GOLD: #pɛ̃t̪yʁ#}
61     | #mˌeliˈoːrem# | *#mˌɛlʝˈorɛ# {GOLD: #mˌɛlʝˈorɛ#} | *#mˌɛʎˈoːrɛ# | *#mˌɛʎˈoːrɛ# | *#mˌeʎˈowr# | *#mˌeʎˈowr# {GOLD: #mˌeʎˈowr#} | *#mˌɛʎˈør# {GOLD: #mˌɛʎˈør#} | *#mˌɛʎˈør# {GOLD: #mˌɛʎˈør#} | *#mɛjœʁ# {GOLD: #mɛjœʁ#}
62     | #wˌiɡilˈɑːre# | *#βʷˌeɡlˈɑrɛ# {GOLD: #βˌeʝelˈɑrɛ#} | *#βʷˌeɣlˈɑːrɛ# | *#βˌeʝʎˈie̯rɛ# | *#vˌeʎˈie̯r# | *#vˌeʎˈie̯r# {GOLD: #vˌeʎˈie̯r#} | *#vˌɛʎjˈer# {GOLD: #vˌeʎjˈer#} | *#vˌɛʎˈer# {GOLD: #vˌeʎˈer#} | *#vɛje# {GOLD: #vɛje#}
63     | #mˌed̪iˈɑːn̪um# | *#mˌɛʝʝˈɑn̪o# {GOLD: #mˌɛʝʝˈɑn̪o#} | *#mˌɛʝʝˈɑːn̪o# | *#mˌeʝˈaːn̪o# | *#mˌejˈie̯n̪# | *#mˌejˈie̯n̪# {GOLD: #mˌejˈie̯n̪#} | *#mwˌɛjˈẽn̪# {GOLD: #mwˌɛjˈẽn̪#} | *#mwˌɛjˈẽː# {GOLD: #mwˌɛjˈẽː#} | *#mwajɛ̃# {GOLD: #mwajɛ̃#}
64     | #wˌeːkt̪ˈuːrɑm# | *#βʷˌext̪ˈurɑ# {GOLD: #βˌext̪ˈurɑ#} | *#βʷˌext̪ˈuːrɑ# | *#βˌeçt̪ʲˈʉːra# | *#vˌeçt̪ˈʉːra# | *#vˌejt̪ˈyrə# {GOLD: #vˌejt̪ˈyrə#} | *#vwˌɛt̪ˈyrə# {GOLD: #vwˌɛt̪ˈyrə#} | *#vwˌɛt̪ˈyrə# {GOLD: #vwˌɛt̪ˈyrə#} | *#vwat̪yʁ# {GOLD: #vwat̪yʁ#}
65     | #frˌikˈɑːre# | *#frˌekˈɑrɛ# {GOLD: #frˌekˈɑrɛ#} | *#frˌekˈɑːrɛ# | *#frˌejˈaːrɛ# | *#frˌejˈie̯r# | *#frˌejˈie̯r# {GOLD: #frˌejˈie̯r#} | *#frwˌɛjˈer# {GOLD: #frwˌɛjˈer#} | *#frwˌɛjˈer# {GOLD: #frˌɛjˈer#} | *#fʁwaje# {GOLD: #fʁɛje#}
66     | #pˈɑrt̪em# | *#pˈɑrt̪ɛ# {GOLD: #pˈɑrt̪ɛ#} | *#pˈɑrt̪ɛ# | *#pˈart̪ɛ# | *#pˈart̪# | *#pˈart̪# {GOLD: #pˈart̪#} | *#pˈart̪# {GOLD: #pˈart̪#} | *#pˈart̪# {GOLD: #pˈart̪#} | *#paʁ# {GOLD: #paʁ#}
67     | #ˌae̯t̪ˈɑːt̪ikum# | *#ˌɛt̪ˈɑt̪eko# {GOLD: #ˌɛt̪ˈɑt̪eko#} | *#ˌɛt̪ˈɑːt̪eko# | *#ˌɛt̪ˈaːt̪eɣo# | *#ˌeðˈad̪d͡ʒə# | *#ˌəðˈad͡ʒə# {GOLD: #ˌəðˈad͡ʒə#} | *#ˌəˈaʒə# {GOLD: #ˌəˈaʒə#} | *#ˈaːʒə# {GOLD: #ˈaːʒə#} | *#ɑʒ# {GOLD: #ɑʒ#}
68     | #pˈɑst̪ɑm# | *#pˈɑst̪ɑ# {GOLD: #pˈɑst̪ɑ#} | *#pˈɑst̪ɑ# | *#pˈast̪a# | *#pˈast̪a# | *#pˈast̪ə# {GOLD: #pˈast̪ə#} | *#pˈaːt̪ə# {GOLD: #pˈaːt̪ə#} | *#pˈaːt̪ə# {GOLD: #pˈaːt̪ə#} | *#pɑt̪# {GOLD: #pɑt̪#}
69     | #ɡrˈɑn̪d̪em# | *#ɡrˈɑn̪d̪ɛ# {GOLD: #ɡrˈɑn̪d̪ɛ#} | *#ɡrˈɑn̪d̪ɛ# | *#ɡrˈan̪d̪ɛ# | *#ɡrˈan̪d̪# | *#ɡrˈãn̪t̪# {GOLD: #ɡrˈãn̪t̪#} | *#ɡrˈãn̪t̪# {GOLD: #ɡrˈãn̪t̪#} | *#ɡrˈãːt̪# {GOLD: #ɡrˈãːt̪#} | *#ɡʁɑ̃# {GOLD: #ɡʁɑ̃#}
70     | #lˈɑmin̪ɑm# | *#lˈɑmen̪ɑ# {GOLD: #lˈɑmen̪ɑ#} | *#lˈɑmn̪ɑ# | *#lˈamma# | *#lˈamma# | *#lˈãmə# {GOLD: #lˈãmə#} | *#lˈãmə# {GOLD: #lˈãmə#} | *#lˈãmə# {GOLD: #lˈãmə#} | *#lam# {GOLD: #lam#}
71     | #ˈɑlbɑm# | *#ˈɑɫbɑ# {GOLD: #ˈɑɫbɑ#} | *#ˈɑɫbɑ# | *#ˈaɫba# | *#ˈaɫba# | *#ˈaɫbə# {GOLD: #ˈaɫbə#} | *#ˈawbə# {GOLD: #ˈawbə#} | *#ˈoːbə# {GOLD: #ˈoːbə#} | *#ob# {GOLD: #ob#}
72     | #iˈɑm# | *#ʝˈɑm# {GOLD: #ʝˈɑ#} | *#ʝˈɑːm# | *#ʝˈie̯m# | *#d͡ʒˈie̯m# | *#d͡ʒˈie̯n̪# {GOLD: #d͡ʒˈa#} | *#ʒjˈẽn̪# {GOLD: #ʒˈa#} | *#ʒjˈẽː# {GOLD: #ʒˈa#} | *#ʒjɛ̃# {GOLD: #ʒa#}
73     | #ɡrˈɑːt̪um# | *#ɡrˈɑt̪o# {GOLD: #ɡrˈɑt̪o#} | *#ɡrˈɑːt̪o# | *#ɡrˈaːt̪o# | *#ɡrˈae̯t̪# | *#ɡrˈeːθ# {GOLD: #ɡrˈeːθ#} | *#ɡrˈe# {GOLD: #ɡrˈe#} | *#ɡrˈe# {GOLD: #ɡrˈe#} | *#ɡʁe# {GOLD: #ɡʁe#}
74     | #t̪ˈɑːlem# | *#t̪ˈɑlɛ# {GOLD: #t̪ˈɑlɛ#} | *#t̪ˈɑːlɛ# | *#t̪ˈaːlɛ# | *#t̪ˈae̯l# | *#t̪ˈeːl# {GOLD: #t̪ˈeːl#} | *#t̪ˈel# {GOLD: #t̪ˈel#} | *#t̪ˈel# {GOLD: #t̪ˈel#} | *#t̪ɛl# {GOLD: #t̪ɛl#}
75     | #mˈɑre# | *#mˈɑrɛ# {GOLD: #mˈɑrɛ#} | *#mˈɑːrɛ# | *#mˈaːrɛ# | *#mˈae̯r# | *#mˈeːr# {GOLD: #mˈeːr#} | *#mˈer# {GOLD: #mˈer#} | *#mˈer# {GOLD: #mˈer#} | *#mɛʁ# {GOLD: #mɛʁ#}
76     | #mˈɑt̪rem# | *#mˈɑt̪rɛ# {GOLD: #mˈɑt̪rɛ#} | *#mˈɑːt̪rɛ# | *#mˈaːt̪rɛ# | *#mˈae̯ðrə# | *#mˈeːðrə# {GOLD: #mˈeːðrə#} | *#mˈerə# {GOLD: #mˈerə#} | *#mˈerə# {GOLD: #mˈerə#} | *#mɛʁ# {GOLD: #mɛʁ#}
77     | #mˈɑn̪u# | *#mˈɑn̪o# {GOLD: #mˈɑn̪o#} | *#mˈɑːn̪o# | *#mˈaːn̪o# | *#mˈae̯n̪# | *#mˈãj̃n̪# {GOLD: #mˈãj̃n̪#} | *#mˈɛ̃j̃n̪# {GOLD: #mˈɛ̃j̃n̪#} | *#mˈɛ̃ː# {GOLD: #mˈɛ̃ː#} | *#mɛ̃# {GOLD: #mɛ̃#}
78     | #ˈɑmɑt̪# | *#ˈɑmɑt̪# {GOLD: #ˈɑmɑt̪#} | *#ˈɑːmɑt̪# | *#ˈaːmat̪# | *#ˈae̯maθ# | *#ˈãj̃məθ# {GOLD: #ˈãj̃məθ#} | *#ˈɛ̃j̃mə# {GOLD: #ˈɛ̃j̃mə#} | *#ˈɛ̃mə# {GOLD: #ˈɛ̃mə#} | *#ɛm# {GOLD: #ɛm#}
79     | #pˈɑːloːs# | *#pˈɑlos# {GOLD: #pˈɑlos#} | *#pˈɑːlos# | *#pˈaːlos# | *#pˈals# | *#pˈaɫs# {GOLD: #pˈeːɫs#} | *#pˈaws# {GOLD: #pjˈøs#} | *#pˈoːs# {GOLD: #pjˈøs#} | *#po# {GOLD: #pjø#}
80     | #pˌiet̪ˈɑːt̪em# | *#pˌixt̪ˈɑt̪ɛ# {GOLD: #pˌiɛt̪ˈɑt̪ɛ#} | *#pˌixt̪ˈɑːt̪ɛ# | *#pˌiçt̪ʲˈie̯t̪ɛ# | *#pˌiçt̪ˈie̯t̪# | *#pˌit̪ˈie̯θ# {GOLD: #pˌit̪ˈie̯θ#} | *#pˌit̪jˈe# {GOLD: #pˌit̪jˈe#} | *#pˌit̪jˈe# {GOLD: #pˌit̪jˈe#} | *#pit̪je# {GOLD: #pit̪je#}
81     | #mˌɑn̪d̪uːkˈɑːre# | *#mˌɑn̪d̪ekˈɑrɛ# {GOLD: #mˌɑn̪d̪ukˈɑrɛ#} | *#mˌɑn̪d̪ekˈɑːrɛ# | *#mˌan̪d̪ɡʲˈie̯rɛ# | *#mˌan̪d͡ʒˈie̯r# | *#mˌãn̪d͡ʒˈie̯r# {GOLD: #mˌãn̪d͡ʒˈie̯r#} | *#mˌãn̪ʒjˈer# {GOLD: #mˌãn̪ʒjˈer#} | *#mˌãːʒˈer# {GOLD: #mˌãːʒˈer#} | *#mɑ̃ʒe# {GOLD: #mɑ̃ʒe#}
82     | #kˈɑːrum# | *#kˈɑro# {GOLD: #kˈɑro#} | *#kˈɑːro# | *#kʲˈie̯ro# | *#t͡ʃˈie̯r# | *#t͡ʃˈie̯r# {GOLD: #t͡ʃˈie̯r#} | *#ʃjˈer# {GOLD: #ʃjˈer#} | *#ʃˈer# {GOLD: #ʃˈer#} | *#ʃɛʁ# {GOLD: #ʃɛʁ#}
83     | #kˈɑːrɑm# | *#kˈɑrɑ# {GOLD: #kˈɑrɑ#} | *#kˈɑːrɑ# | *#kʲˈie̯ra# | *#t͡ʃˈie̯ra# | *#t͡ʃˈie̯rə# {GOLD: #t͡ʃˈie̯rə#} | *#ʃjˈerə# {GOLD: #ʃjˈerə#} | *#ʃˈerə# {GOLD: #ʃˈerə#} | *#ʃɛʁ# {GOLD: #ʃɛʁ#}
84     | #kˈɑn̪em# | *#kˈɑn̪ɛ# {GOLD: #kˈɑn̪ɛ#} | *#kˈɑːn̪ɛ# | *#kʲˈie̯n̪ɛ# | *#t͡ʃˈie̯n̪# | *#t͡ʃˈie̯n̪# {GOLD: #t͡ʃˈie̯n̪#} | *#ʃjˈẽn̪# {GOLD: #ʃjˈẽn̪#} | *#ʃjˈẽː# {GOLD: #ʃjˈẽː#} | *#ʃjɛ̃# {GOLD: #ʃjɛ̃#}
85     | #iˈɑket̪# | *#ʝˈɑcɛt̪# {GOLD: #ʝˈɑcɛt̪#} | *#ʝˈɑːcɛt̪# | *#ʝˈie̯t͡sʲɛt̪# | *#d͡ʒˈie̯jt͡sʲt̪# | *#d͡ʒˈit͡sʲt̪# {GOLD: #d͡ʒˈit͡st̪#} | *#ʒˈiːt̪# {GOLD: #ʒˈiːt̪#} | *#ʒˈiːt̪# {GOLD: #ʒˈiːt̪#} | *#ʒi# {GOLD: #ʒi#}
86     | #ˈɑllium# | *#ˈɑllʝo# {GOLD: #ˈɑllʝo#} | *#ˈɑːʎo# | *#ˈaʎo# | *#ˈaʎ# | *#ˈaʎ# {GOLD: #ˈaʎ#} | *#ˈaʎ# {GOLD: #ˈaʎ#} | *#ˈaʎ# {GOLD: #ˈaʎ#} | *#aj# {GOLD: #aj#}
87     | #pˈɑleɑm# | *#pˈɑlʝɑ# {GOLD: #pˈɑlʝɑ#} | *#pˈɑːʎɑ# | *#pˈaʎa# | *#pˈaʎa# | *#pˈaʎə# {GOLD: #pˈaʎə#} | *#pˈaʎə# {GOLD: #pˈaʎə#} | *#pˈaʎə# {GOLD: #pˈaʎə#} | *#pɑj# {GOLD: #pɑj#}
88     | #ˈɑllioːs# | *#ˈɑllʝos# {GOLD: #ˈɑllʝos#} | *#ˈɑːʎos# | *#ˈaʎos# | *#ˈaʎt͡sʲ# | *#ˈaɫt͡sʲ# {GOLD: #ˈaɫt͡s#} | *#ˈawsʲ# {GOLD: #ˈaws#} | *#ˈoːs# {GOLD: #ˈoːs#} | *#o# {GOLD: #o#}
89     | #mˌon̪t̪ˈɑːn̪eɑm# | *#mˌɔn̪t̪ˈɑn̪ʝɑ# {GOLD: #mˌɔn̪t̪ˈɑn̪ʝɑ#} | *#mˌɔn̪t̪ˈɑːɲɑ# | *#mˌũn̪t̪ˈaɲa# | *#mˌũn̪t̪ˈaɲa# | *#mˌũn̪t̪ˈãɲə# {GOLD: #mˌun̪t̪ˈãɲə#} | *#mˌũn̪t̪ˈãɲə# {GOLD: #mˌũn̪t̪ˈãɲə#} | *#mˌũːt̪ˈãɲə# {GOLD: #mˌũːt̪ˈãɲə#} | *#mɔ̃t̪aɲ# {GOLD: #mɔ̃t̪aɲ#}
90     | #sˈɑn̪kt̪um# | *#sˈɑŋt̪o# {GOLD: #sˈɑŋt̪o#} | *#sˈɑŋt̪o# | *#sˈaɲt̪ʲo# | *#sˈaɲt̪# | *#sˈãj̃n̪t̪# {GOLD: #sˈãj̃n̪t̪#} | *#sˈɛ̃j̃n̪t̪# {GOLD: #sˈɛ̃j̃n̪t̪#} | *#sˈɛ̃ːt̪# {GOLD: #sˈɛ̃ːt̪#} | *#sɛ̃# {GOLD: #sɛ̃#}
91     | #mˈɑɡis# | *#mˈɑʝes# {GOLD: #mˈɑʝes#} | *#mˈɑːʝes# | *#mˈaːʝes# | *#mˈajs# | *#mˈajs# {GOLD: #mˈajs#} | *#mˈɛːs# {GOLD: #mˈɛs#} | *#mˈɛːs# {GOLD: #mˈɛs#} | *#mɛ# {GOLD: #mɛ#}
92     | #hˈɑbeo# | *#hˈɑbʝɔ# {GOLD: #hˈɑʝɔ#} | *#hˈɑbʝɔ# | *#ˈabʝɔ# | *#ˈad̪d͡ʒə# | *#ˈad͡ʒə# {GOLD: #ˈaj#} | *#ˈaʒə# {GOLD: #ˈe#} | *#ˈaʒə# {GOLD: #ˈe#} | *#aʒ# {GOLD: #e#}
93     | #ˌɑbbˈɑːt̪em# | *#ˌɑbbˈɑt̪ɛ# {GOLD: #ˌɑbbˈɑt̪ɛ#} | *#ˌɑbbˈɑːt̪ɛ# | *#ˌabbˈaːt̪ɛ# | *#ˌabbˈae̯t̪# | *#ˌabˈeːθ# {GOLD: #ˌabˈeːθ#} | *#ˌabˈe# {GOLD: #ˌabˈe#} | *#ˌabˈe# {GOLD: #ˌabˈe#} | *#abe# {GOLD: #abe#}
94     | #mˌɑrˈiːt̪um# | *#mˌɑrˈit̪o# {GOLD: #mˌɑrˈit̪o#} | *#mˌɑrˈiːt̪o# | *#mˌarˈiːt̪o# | *#mˌarˈiːt̪# | *#mˌarˈiθ# {GOLD: #mˌarˈiθ#} | *#mˌarˈi# {GOLD: #mˌarˈi#} | *#mˌarˈi# {GOLD: #mˌarˈi#} | *#maʁi# {GOLD: #maʁi#}
95     | #bˌɑst̪ˈiːre# | *#bˌɑst̪ˈirɛ# {GOLD: #bˌɑst̪ˈirɛ#} | *#bˌɑst̪ˈiːrɛ# | *#bˌast̪ˈiːrɛ# | *#bˌast̪ˈiːr# | *#bˌast̪ˈir# {GOLD: #bˌast̪ˈir#} | *#bˌaːt̪ˈir# {GOLD: #bˌaːt̪ˈir#} | *#bˌaːt̪ˈir# {GOLD: #bˌaːt̪ˈir#} | *#bɑt̪iʁ# {GOLD: #bɑt̪iʁ#}
96     | #sˌɑːn̪it̪ˈɑːt̪em# | *#sˌɑn̪et̪ˈɑt̪ɛ# {GOLD: #sˌɑn̪et̪ˈɑt̪ɛ#} | *#sˌɑn̪et̪ˈɑːt̪ɛ# | *#sˌan̪t̪ˈaːt̪ɛ# | *#sˌan̪t̪ˈae̯t̪# | *#sˌãn̪t̪ˈeːθ# {GOLD: #sˌãn̪t̪ˈeːθ#} | *#sˌãn̪t̪ˈe# {GOLD: #sˌãn̪t̪ˈe#} | *#sˌãːt̪ˈe# {GOLD: #sˌãːt̪ˈe#} | *#sɑ̃t̪e# {GOLD: #sɑ̃t̪e#}
97     | #ˌɑn̪n̪ˈɑːt̪ɑm# | *#ˌɑn̪n̪ˈɑt̪ɑ# {GOLD: #ˌɑn̪n̪ˈɑt̪ɑ#} | *#ˌɑn̪n̪ˈɑːt̪ɑ# | *#ˌan̪n̪ˈaːt̪a# | *#ˌan̪n̪ˈae̯ða# | *#ˌãn̪ˈeːðə# {GOLD: #ˌãn̪ˈeːðə#} | *#ˌãn̪ˈeə# {GOLD: #ˌãn̪ˈeə#} | *#ˌãn̪ˈeː# {GOLD: #ˌãn̪ˈeː#} | *#an̪e# {GOLD: #an̪e#}
98     | #sˌɑlt̪ˈɑːre# | *#sˌɑɫt̪ˈɑrɛ# {GOLD: #sˌɑɫt̪ˈɑrɛ#} | *#sˌɑɫt̪ˈɑːrɛ# | *#sˌaɫt̪ˈaːrɛ# | *#sˌaɫt̪ˈae̯r# | *#sˌaɫt̪ˈeːr# {GOLD: #sˌaɫt̪ˈeːr#} | *#sˌawt̪ˈer# {GOLD: #sˌawt̪ˈer#} | *#sˌoːt̪ˈer# {GOLD: #sˌoːt̪ˈer#} | *#sot̪e# {GOLD: #sot̪e#}
99     | #kˌɑbˈɑllum# | *#kˌɑβˈɑllo# {GOLD: #kˌɑβˈɑllo#} | *#kˌɑβˈɑllo# | *#kʲˌɛβˈallo# | *#t͡ʃˌevˈall# | *#t͡ʃˌəvˈal# {GOLD: #t͡ʃˌəvˈal#} | *#ʃˌəvˈal# {GOLD: #ʃˌəvˈal#} | *#ʃˌəvˈal# {GOLD: #ʃˌəvˈal#} | *#ʃəval# {GOLD: #ʃəval#}
100    | #kˌɑlˈeːre# | *#kˌɑlˈerɛ# {GOLD: #kˌɑlˈerɛ#} | *#kˌɑlˈeːrɛ# | *#kʲˌalˈeːrɛ# | *#t͡ʃˌalˈejr# | *#t͡ʃˌalˈejr# {GOLD: #t͡ʃˌalˈejr#} | *#ʃˌalwˈɛr# {GOLD: #ʃˌalwˈɛr#} | *#ʃˌalwˈɛr# {GOLD: #ʃˌalwˈɛr#} | *#ʃalwaʁ# {GOLD: #ʃalwaʁ#}
101    | #pˌɑleˈɑːrium# | *#pˌɑlʝˈɑrʝo# {GOLD: #pˌɑlʝˈɑrʝo#} | *#pˌɑʎˈɑrʝo# | *#pˌaʎˈie̯rʲo# | *#pˌaʎˈie̯r# | *#pˌaʎˈie̯r# {GOLD: #pˌaʎˈie̯r#} | *#pˌaʎjˈer# {GOLD: #pˌaʎjˈer#} | *#pˌaʎˈer# {GOLD: #pˌaʎˈer#} | *#paje# {GOLD: #pɑje#}
102    | #ˌɑɡn̪ˈelloːs# | *#ˌɑŋn̪ˈɛllos# {GOLD: #ˌɑŋn̪ˈɛllos#} | *#ˌɑŋn̪ˈɛllos# | *#ˌaɲˈɛllos# | *#ˌaɲˈɛlls# | *#ˌãɲˈɛɫs# {GOLD: #ˌãɲˈɛɫs#} | *#ˌãɲe̯ˈaws# {GOLD: #ˌãɲe̯ˈaws#} | *#ˌãɲə̯ˈoːs# {GOLD: #ˌãɲə̯ˈoːs#} | *#aɲo# {GOLD: #aɲo#}
103    | #sˌɑn̪kt̪it̪ˈɑːt̪em# | *#sˌɑŋt̪et̪ˈɑt̪ɛ# {GOLD: #sˌɑŋt̪et̪ˈɑt̪ɛ#} | *#sˌɑŋt̪et̪ˈɑːt̪ɛ# | *#sˌaɲt̪ʲˈie̯t̪ɛ# | *#sˌaɲt̪ʲˈie̯t̪# | *#sˌãj̃n̪t̪ʲˈie̯θ# {GOLD: #sˌãj̃n̪t̪əðˈeːθ#} | *#sˌɛ̃j̃n̪t̪ʲjˈe# {GOLD: #sˌɛ̃j̃n̪t̪ət̪ˈe#} | *#sˌɛ̃ːt̪ˈe# {GOLD: #sˌɛ̃ːt̪ət̪ˈe#} | *#sɛ̃t̪e# {GOLD: #sɛ̃t̪ət̪e#}
104    | #mˌɑn̪siˈoːn̪em# | *#mˌɑsʝˈon̪ɛ# {GOLD: #mˌɑsʝˈon̪ɛ#} | *#mˌɑsʝˈoːn̪ɛ# | *#mˌazʲˈũːn̪ɛ# | *#mˌajzˈũːn̪# | *#mˌajzˈũn̪# {GOLD: #mˌajzˈun̪#} | *#mˌɛzˈũn̪# {GOLD: #mˌɛzˈũn̪#} | *#mˌɛzˈũː# {GOLD: #mˌɛzˈũː#} | *#mɛzɔ̃# {GOLD: #mezɔ̃#}
105    | #mˈort̪em# | *#mˈɔrt̪ɛ# {GOLD: #mˈɔrt̪ɛ#} | *#mˈɔrt̪ɛ# | *#mˈɔrt̪ɛ# | *#mˈɔrt̪# | *#mˈɔrt̪# {GOLD: #mˈɔrt̪#} | *#mˈɔrt̪# {GOLD: #mˈɔrt̪#} | *#mˈɔrt̪# {GOLD: #mˈɔrt̪#} | *#mɔʁ# {GOLD: #mɔʁ#}
106    | #t̪ˈost̪um# | *#t̪ˈɔst̪o# {GOLD: #t̪ˈɔst̪o#} | *#t̪ˈɔst̪o# | *#t̪ˈɔst̪o# | *#t̪ˈɔst̪# | *#t̪ˈɔst̪# {GOLD: #t̪ˈɔst̪#} | *#t̪ˈoːt̪# {GOLD: #t̪ˈoːt̪#} | *#t̪ˈoːt̪# {GOLD: #t̪ˈoːt̪#} | *#t̪o# {GOLD: #t̪o#}
107    | #pˈoːn̪t̪em# | *#pˈon̪t̪ɛ# {GOLD: #pˈon̪t̪ɛ#} | *#pˈon̪t̪ɛ# | *#pˈũn̪t̪ɛ# | *#pˈũn̪t̪# | *#pˈũn̪t̪# {GOLD: #pˈun̪t̪#} | *#pˈũn̪t̪# {GOLD: #pˈũn̪t̪#} | *#pˈũːt̪# {GOLD: #pˈũːt̪#} | *#pɔ̃# {GOLD: #pɔ̃#}
108    | #fˈolleːs# | *#fˈɔlles# {GOLD: #fˈɔlles#} | *#fˈɔlles# | *#fˈɔlles# | *#fˈɔlls# | *#fˈɔɫs# {GOLD: #fˈɔɫs#} | *#fˈuːs# {GOLD: #fˈus#} | *#fˈuːs# {GOLD: #fˈus#} | *#fu# {GOLD: #fu#}
109    | #bˈowem# | *#bˈɔβʷɛ# {GOLD: #bˈɔβɛ#} | *#bˈɔːβʷɛ# | *#bˈʉo̯βɛ# | *#bˈʉo̯v# | *#bˈye̯f# {GOLD: #bˈye̯f#} | *#bˈøf# {GOLD: #bˈøf#} | *#bˈøf# {GOLD: #bˈøf#} | *#bœf# {GOLD: #bøf#}
110    | #pˈot̪et̪# | *#pˈɔt̪ɛt̪# {GOLD: #pˈɔt̪ɛt̪#} | *#pˈɔːt̪ɛt̪# | *#pˈʉo̯t̪ɛt̪# | *#pˈʉo̯t̪t̪# | *#pˈye̯t̪# {GOLD: #pˈye̯t̪#} | *#pˈøt̪# {GOLD: #pˈøt̪#} | *#pˈøt̪# {GOLD: #pˈøt̪#} | *#pø# {GOLD: #pø#}
111    | #ˈokulum# | *#ˈɔklo# {GOLD: #ˈɔklo#} | *#ˈɔːklo# | *#ˈuo̯çʎo# | *#ˈʉo̯ʎ# | *#ˈye̯ʎ# {GOLD: #ˈye̯ʎ#} | *#ˈøʎ# {GOLD: #ˈøʎ#} | *#ˈøʎ# {GOLD: #ˈøʎ#} | *#œj# {GOLD: #œj#}
112    | #fˈoliɑ# | *#fˈɔlʝɑ# {GOLD: #fˈɔlʝɑ#} | *#fˈɔːʎɑ# | *#fˈʉo̯ʎa# | *#fˈʉo̯ʎa# | *#fˈye̯ʎə# {GOLD: #fˈye̯ʎə#} | *#fˈøʎə# {GOLD: #fˈøʎə#} | *#fˈøʎə# {GOLD: #fˈøʎə#} | *#fœj# {GOLD: #fœj#}
113    | #ˈokuloːs# | *#ˈɔklos# {GOLD: #ˈɔklos#} | *#ˈɔːklos# | *#ˈuo̯çʎos# | *#ˈʉo̯ʎt͡sʲ# | *#ˈye̯ɫt͡sʲ# {GOLD: #ˈye̯ɫt͡s#} | *#jˈøsʲ# {GOLD: #jˈøs#} | *#jˈøs# {GOLD: #jˈøs#} | *#jø# {GOLD: #jø#}
