ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
260,*/aʁk/,/aʁk/,0,0.0,0.0,3,3
261,*/sɛʁkl/,/sɛʁkl/,0,0.0,0.0,5,5
262,*/pɔʁ/,/pɔʁ/,0,0.0,0.0,3,3
263,*/syʁ/,/syʁ/,0,0.0,0.0,3,3
264,*/sɛk/,/sɛk/,0,0.0,0.0,3,3
265,*/sɛʃ/,/sɛʃ/,0,0.0,0.0,3,3
266,*/lɛʁm/,/laʁm/,1,0.25,0.07692307692307693,4,4
267,*/lɛse/,/lɛse/,0,0.0,0.0,4,4
268,*/ɛ/,/ɛ/,0,0.0,0.0,1,1
269,*/t̪ʁɛt̪e/,/t̪ʁɛt̪e/,0,0.0,0.0,5,5
270,*/fɛ/,/fɛ/,0,0.0,0.0,2,2
271,*/ʒɑ̃/,/ʒɑ̃/,0,0.0,0.0,2,2
272,*/plɛ̃d̪ʁ/,/plɛ̃d̪ʁ/,0,0.0,0.0,5,5
273,*/so/,/so/,0,0.0,0.0,2,2
274,*/fleo/,/fleo/,0,0.0,0.0,4,4
275,*/esɛ/,/esɛ/,0,0.0,0.0,3,3
276,*/ʒon̪/,/ʒon̪/,0,0.0,0.0,3,3
277,*/ʁwa/,/ʁɛ/,2,1.0,0.6346153846153846,3,2
278,*/plɛ/,/plɛ/,0,0.0,0.0,3,3
279,*/ʁy/,/ʁy/,0,0.0,0.0,2,2
280,*/d̪uv/,/d̪uv/,0,0.0,0.0,3,3
281,*/ɡu/,/ɡu/,0,0.0,0.0,2,2
282,*/lɔ̃/,/lɔ̃/,0,0.0,0.0,2,2
283,*/ɔ̃ɡl/,/ɔ̃ɡl/,0,0.0,0.0,3,3
284,*/ut̪/,/ut̪/,0,0.0,0.0,2,2
285,*/n̪waʁ/,/n̪waʁ/,0,0.0,0.0,4,4
286,*/peʁɛ̃/,/pɛlʁɛ̃/,2,0.4,0.5961538461538461,4,5
287,*/pɔm/,/pɔm/,0,0.0,0.0,3,3
288,*/fɛ̃/,/fɛ̃/,0,0.0,0.0,2,2
289,*/ʃɑ̃bʁ/,/ʃɑ̃bʁ/,0,0.0,0.0,4,4
290,*/kɔ̃bl/,/kɔ̃bl/,0,0.0,0.0,4,4
291,*/sɛ̃ʒ/,/sɛ̃ʒ/,0,0.0,0.0,3,3
292,*/d̪ɔʁ/,/d̪ɔʁ/,0,0.0,0.0,3,3
293,*/n̪e/,/n̪es/,1,0.3333333333333333,0.6538461538461539,2,3
294,*/lyn̪/,/lyn̪/,0,0.0,0.0,3,3
295,*/pan̪/,/pan̪/,0,0.0,0.0,3,3
296,*/ɑ̃/,/ɑ̃/,0,0.0,0.0,1,1
297,*/om/,/ɑm/,1,0.5,0.11538461538461539,2,2
298,*/om/,/om/,0,0.0,0.0,2,2
299,*/pɔ̃d̪ʁ/,/pɔ̃d̪ʁ/,0,0.0,0.0,4,4
300,*/bɛ̃/,/bɛ̃/,0,0.0,0.0,2,2
301,*/bɛ̃/,/bɛ̃/,0,0.0,0.0,2,2
302,*/ɛl/,/ɛl/,0,0.0,0.0,2,2
303,*/mal/,/mal/,0,0.0,0.0,3,3
304,*/fij/,/fij/,0,0.0,0.0,3,3
