ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
1322,*/vɛʁ/,/vɛʁn̪/,1,0.25,0.6346153846153846,3,4
1323,*/veʁy/,/veʁy/,0,0.0,0.0,4,4
1324,*/vɛʁ/,/vɛʁ/,0,0.0,0.0,3,3
1325,*/vɛʁt̪əvɛl/,/vɛʁt̪əvɛl/,0,0.0,0.0,8,8
1326,*/vɛʁv/,/vɛʁv/,0,0.0,0.0,4,4
1327,*/vɛmɑ̃/,/vɛt̪mɑ̃/,1,0.2,0.6730769230769231,4,5
1328,*/vɛt̪iʁ/,/vɛt̪iʁ/,0,0.0,0.0,5,5
1329,*/vjɛj/,/vjɛj/,0,0.0,0.0,4,4
1330,*/vjɛj/,/vjɛj/,0,0.0,0.0,4,4
1331,*/vjø/,/vjø/,0,0.0,0.0,3,3
1332,*/vjɛj/,/vjɛj/,0,0.0,0.0,4,4
1333,*/vjø/,/vjø/,0,0.0,0.0,3,3
1334,*/vwa/,/vwa/,0,0.0,0.0,3,3
1335,*/vwajaʒ/,/vwajaʒ/,0,0.0,0.0,6,6
1336,*/vwaʁ/,/vwaʁ/,0,0.0,0.0,4,4
1337,*/vuʒ/,/vuʒ/,0,0.0,0.0,3,3
1338,*/vɛv/,/vœv/,1,0.3333333333333333,0.07692307692307693,3,3
1339,*/vɛf/,/vœf/,1,0.3333333333333333,0.07692307692307693,3,3
1340,*/vɛje/,/vɛje/,0,0.0,0.0,4,4
1341,*/vɛj/,/vɛj/,0,0.0,0.0,3,3
1342,*/vjɛ̃/,/vɛ̃/,1,0.5,0.4807692307692308,3,2
1343,*/vwaje/,/vwaje/,0,0.0,0.0,5,5
1344,*/vil/,/vil/,0,0.0,0.0,3,3
1345,*/vil/,/vil/,0,0.0,0.0,3,3
1346,*/vilɛn̪/,/vilɛn̪/,0,0.0,0.0,5,5
1347,*/vilɛ̃/,/vilɛ̃/,0,0.0,0.0,4,4
1348,*/vly/,/vəly/,1,0.25,0.5192307692307693,3,4
1349,*/vly/,/vəly/,1,0.25,0.5192307692307693,3,4
1350,*/vɑ̃d̪ɑ̃ʒ/,/vɑ̃d̪ɑ̃ʒ/,0,0.0,0.0,5,5
1351,*/vɑ̃d̪waz/,/vɑ̃d̪waz/,0,0.0,0.0,6,6
1352,*/vɑ̃ʒ/,/vɑ̃ʒ/,0,0.0,0.0,3,3
1353,*/vɑ̃ʒe/,/vɑ̃ʒe/,0,0.0,0.0,4,4
1354,*/viɲ/,/viɲ/,0,0.0,0.0,3,3
1355,*/vɛ̃/,/vɛ̃/,0,0.0,0.0,2,2
1356,*/viʁe/,/viʁe/,0,0.0,0.0,4,4
1357,*/vɛʁʒ/,/vɛʁʒ/,0,0.0,0.0,4,4
1358,*/vɛʁ/,/vɛʁ/,0,0.0,0.0,3,3
1359,*/vɛʁt̪y/,/vɛʁt̪y/,0,0.0,0.0,5,5
1360,*/vi/,/vi/,0,0.0,0.0,2,2
1361,*/vo/,/vo/,0,0.0,0.0,2,2
1362,*/vwaʁ/,/vɛʁ/,2,0.6666666666666666,0.6730769230769231,4,3
1363,*/viv/,/viv/,0,0.0,0.0,3,3
1364,*/vivɑ̃d̪/,/vjɑ̃d̪/,2,0.5,0.8461538461538461,5,4
1365,*/vivʁ/,/vivʁ/,0,0.0,0.0,4,4
1366,*/vif/,/vif/,0,0.0,0.0,3,3
1367,*/vɔlaʒ/,/vɔlaʒ/,0,0.0,0.0,5,5
1368,*/vulwaʁ/,/vulwaʁ/,0,0.0,0.0,6,6
1369,*/vulɔ̃t̪e/,/volɔ̃t̪e/,1,0.16666666666666666,0.038461538461538464,6,6
1370,*/vu/,/vœj/,2,0.6666666666666666,0.6923076923076923,2,3
1371,*/vut̪/,/vut̪/,0,0.0,0.0,3,3
1372,*/vid̪e/,/vid̪e/,0,0.0,0.0,4,4
1373,*/vu/,/vu/,0,0.0,0.0,2,2
1374,*/vɔt̪ʁ/,/vɔt̪ʁ/,0,0.0,0.0,4,4
1375,*/vɔt̪ʁ/,/vɔt̪ʁ/,0,0.0,0.0,4,4
1376,*/vwe/,/vwe/,0,0.0,0.0,3,3
1377,*/vø/,/vø/,0,0.0,0.0,2,2
