Analysis for Gold

ACCURACY REPORT:
Overall accuracy:                        0.85703919
Accuracy within 1 phone:                 0.95137881
Accuracy within 2 phones:                0.99201742
Average edit distance from gold:         0.05665129
Average feature edit distance from gold: 0.05286368

Performance associated with each phone in Gold
Phone in Gold	Associated final miss likelihood	Mean Associated Normalized Lev.Dist.	Mean Associated Feat Edit Dist
a	|	0.12101910828025478	|	0.18333333333333332	|	0.042499999999999996
v	|	0.15606936416184972	|	0.19161676646706588	|	0.04168585905112852
ɑ̃	|	0.11258278145695365	|	0.17687074829931973	|	0.05232862375719518
b	|	0.1	|	0.13636363636363635	|	0.03496503496503497
e	|	0.23655913978494625	|	0.32571428571428573	|	0.07846153846153844
f	|	0.1568627450980392	|	0.20588235294117646	|	0.04939668174962292
ɛ	|	0.18604651162790697	|	0.29692832764505117	|	0.08197689682331319
t̪	|	0.16104868913857678	|	0.23015873015873015	|	0.06723137973137974
d̪	|	0.21	|	0.2755102040816326	|	0.07142857142857141
z	|	0.16279069767441862	|	0.3023255813953488	|	0.055903398926654746
p	|	0.15021459227467812	|	0.2183406113537118	|	0.05139402082633523
ʁ	|	0.15535714285714286	|	0.21579961464354527	|	0.051689639839928844
j	|	0.22666666666666666	|	0.3493150684931507	|	0.09128029504741833
s	|	0.16728624535315986	|	0.234375	|	0.06820913461538461
w	|	0.15503875968992248	|	0.23255813953488372	|	0.07468694096601074
ɑ	|	0.18604651162790697	|	0.23255813953488372	|	0.030858676207513414
ʒ	|	0.23170731707317074	|	0.4375	|	0.11586538461538462
ɲ	|	0.14814814814814814	|	0.25925925925925924	|	0.06552706552706553
l	|	0.15298507462686567	|	0.2631578947368421	|	0.07345286292654715
o	|	0.13559322033898305	|	0.18803418803418803	|	0.02942143326758711
u	|	0.13333333333333333	|	0.16296296296296298	|	0.04287749287749287
i	|	0.10975609756097561	|	0.13580246913580246	|	0.0324074074074074
k	|	0.14563106796116504	|	0.18627450980392157	|	0.04939668174962293
y	|	0.1125	|	0.2	|	0.052884615384615384
n̪	|	0.13194444444444445	|	0.1773049645390071	|	0.03968903436988544
œ̃	|	0.0	|	0.0	|	0.0
m	|	0.13978494623655913	|	0.19021739130434784	|	0.046195652173913034
ɡ	|	0.13513513513513514	|	0.21621621621621623	|	0.02442827442827443
ø	|	0.24324324324324326	|	0.40540540540540543	|	0.09407484407484408
ʃ	|	0.14705882352941177	|	0.16	|	0.01884615384615385
ɔ̃	|	0.10416666666666667	|	0.11827956989247312	|	0.02667493796526054
ɔ	|	0.13953488372093023	|	0.1744186046511628	|	0.04628801431127012
œ	|	0.21568627450980393	|	0.3137254901960784	|	0.06674208144796381
ɛ̃	|	0.14705882352941177	|	0.26732673267326734	|	0.07616146230007616
ə	|	0.3333333333333333	|	0.43333333333333335	|	0.12403846153846153
ɥ	|	0.15625	|	0.21875	|	0.08052884615384615
